,Unnamed: 0,idx_orig,z,ra,dec,spec_selection
287,287,519,0.0812796815740281,119.65634384075376,16.207563387590376,1
288,288,521,0.0824704266714243,123.1114543437536,37.01998120638262,1
290,290,528,0.0547385714016893,89.87213799550995,35.88376201581084,1
294,294,532,0.1132412417523451,253.76438699595656,42.9575654583377,1
296,296,534,0.0709467177699543,163.2140120961265,52.73453453091579,1
301,301,541,0.0890398201452665,223.6115117268809,39.69685317025616,1
309,309,554,0.0897862147536806,58.51233359685641,-9.268630853719245,1
313,313,561,0.0486706562572059,44.783604343921645,27.214353853194897,1
314,314,563,0.0482593416605246,196.9658515598541,43.61910192426601,1
329,329,592,0.0405572731094061,8.508200353437104,30.81121645694359,1
335,335,605,0.0655585416799543,193.3711876026096,37.809698464056346,1
340,340,614,0.1470148352059006,357.02342763998297,31.99937371784693,1
347,347,626,0.0522922028965486,224.22781326267685,-9.750444513224132,1
350,350,630,0.0278212017747213,36.20944604233435,73.3080056600059,1
359,359,644,0.0844746374984054,190.02900378370836,-10.86839325867062,1
360,360,647,0.0770025130340656,142.17453277752742,35.73670162398735,1
363,363,654,0.0848686760585221,249.7441636191568,7.215475006441596,1
371,371,669,0.115265687004216,218.9656880352605,3.600579046563261,1
374,374,675,0.0576018890343037,7.351795225404363,27.72733718765803,1
375,375,676,0.0943110991636848,72.12185181602909,-8.209735690823457,1
379,379,681,0.135455464499571,133.5585413639458,31.341312562165992,1
382,382,686,0.0700111389064725,208.1193378093922,45.019950772381335,1
392,392,714,0.1415044944013886,169.63485406783292,6.690464607198397,1
403,403,734,0.025598921801033,336.09388058711374,22.490655951052144,1
406,406,740,0.1114789473970882,28.20370258968538,-26.280696906637697,1
408,408,746,0.0611458499824319,308.42205053598724,7.398035355919284,1
410,410,748,0.0694694152929901,270.103487446328,23.110496049916964,1
412,412,750,0.0779956579941902,128.0655876572965,5.456412172837605,1
418,418,764,0.0662870652650054,354.19147131571805,37.66807483795475,1
423,423,777,0.0827575200119793,258.783887916283,33.640591511078306,1
429,429,789,0.0546369123263747,91.25961520248752,43.78632704092096,1
430,430,790,0.0666073879238638,304.8034953192063,21.806225368152276,1
432,432,792,0.1111155033398374,237.7912244759012,4.385263185345725,1
435,435,795,0.0197253831246822,53.0600117569296,0.3036860782314785,1
441,441,806,0.046488789706262,244.3389815965355,24.49583184102089,1
447,447,817,0.0836168579908673,297.91927814904625,-13.39450994137994,1
448,448,819,0.0712491361143659,325.64954578752554,-3.775602863000965,1
450,450,822,0.0837179890386251,210.25801773250237,78.37430637755115,1
451,451,823,0.0852157354652871,1.4335553656775613,32.52062999915016,1
461,461,842,0.0866516238956105,335.7431578514389,-14.218293957393708,1
464,464,849,0.1156853758266412,327.6590581734014,14.346010751974465,1
465,465,850,0.0822214178087767,226.93934902848676,72.54430255394335,1
468,468,854,0.0758333992250572,52.852845157861694,5.728693379298332,1
473,473,864,0.0351413916271906,326.8564070090969,0.2792885152986203,1
477,477,878,0.0830217079088566,258.13184340947964,35.48598235648506,1
479,479,883,0.0550719135565411,137.11619129524897,15.804546681518907,1
480,480,884,0.0816786623246308,355.5284908092708,-13.605572142989868,1
485,485,893,0.095896989074113,291.94781417831297,-12.12170118935992,1
487,487,899,0.0292669221887755,175.72346260591968,2.9204566142688653,1
488,488,901,0.0911561545591803,203.57979112569683,14.228261618485153,1
501,501,922,0.0565063040858742,349.7308725370529,-6.50280433709151,1
507,507,935,0.0963627379632885,351.491339111399,-14.4884207049718,1
508,508,936,0.1091660289020892,71.76821576078227,-5.008183771249448,1
511,511,946,0.092452378095359,161.20008316583355,19.288208225090965,1
512,512,948,0.0955659637004869,81.85287363739225,-27.55702294278589,1
513,513,950,0.1166415141210263,31.51107586280076,30.872283527168868,1
525,525,978,0.0340751901328498,165.04429664040214,6.279394528023697,1
536,536,997,0.0644559303723388,202.53719840920164,17.452412736227586,1
539,539,1002,0.0847739126901201,62.92605479648596,-20.74094591514409,1
541,541,1006,0.0718454982187743,294.4228123575105,59.76790134605855,1
548,548,1018,0.06580845788382,269.26781616666136,47.69181930265113,1
553,553,1031,0.052146866617783,222.0923231868015,3.733732400320893,1
562,562,1052,0.082341435107383,46.45339958304858,-23.350539106328323,1
563,563,1054,0.0925132611713639,129.52829243737617,27.78700998678587,1
566,566,1060,0.0505780535145614,88.0735163324928,37.0223813592863,1
569,569,1067,0.1021928539135241,337.6984085977353,25.672082288659585,1
570,570,1068,0.1224533736036209,24.636227696132632,-6.672959002264998,1
571,571,1070,0.0518630562194618,250.90810746129137,33.19190900298329,1
572,572,1073,0.0879389034938964,166.62862396771166,53.26312040759091,1
577,577,1086,0.0527438266862174,58.64474258350942,-13.436796493015295,1
581,581,1092,0.0782037368478566,59.63235908773668,-10.763049423557453,1
584,584,1099,0.0468973998898075,132.37069319330408,-11.938536777662502,1
