,Unnamed: 0,idx_orig,z,ra,dec,spec_selection
372,372,742,0.0645723892808478,143.41244620084018,-12.11300504206747,1
376,376,749,0.0975636514175249,277.1007557482917,39.9546012859561,1
382,382,759,0.0539486527364767,163.13087396207467,-13.501444613395204,1
384,384,764,0.1044981071307427,180.23967494056888,-19.95083182198097,1
385,385,767,0.0342375745421898,264.619168855915,64.66870757081553,1
389,389,773,0.1419175737657722,326.51545912911786,-8.670442223810047,1
392,392,783,0.0589195125356047,175.0575446484185,12.241186715471628,1
399,399,794,0.0227307440987717,151.80149664158273,69.01763455055777,1
401,401,798,0.0491797286919366,6.132512561742134,38.7493955918404,1
402,402,799,0.0838083314465928,205.86612308131333,15.842291864610347,1
403,403,800,0.0829456186773625,192.87308269768477,13.793087616995974,1
404,404,801,0.0956740906690018,12.129023849743264,44.06483355675851,1
406,406,804,0.049847538410311,24.072261217012645,0.4863100133076682,1
407,407,807,0.100194334550391,170.64648433815145,68.15687976846816,1
408,408,808,0.0545675057837228,265.78198838619875,44.68753732061269,1
411,411,811,0.0816048171975966,36.38330061608629,49.76539629965445,1
420,420,833,0.068885464094026,126.1024114275804,-1.0647171826144288,1
424,424,839,0.0208600718753688,79.29095150861728,-24.720684319251166,1
426,426,844,0.0904942239313339,61.18566475466855,-16.39085172971226,1
429,429,850,0.1477248289114492,121.6668214771244,-13.151122814880503,1
438,438,863,0.0384039172112986,355.17402975216095,42.35015598379073,1
439,439,865,0.054382810058789,182.9024967979433,44.78764042077679,1
447,447,879,0.0760822904316015,111.93888553324716,60.52836415212806,1
452,452,892,0.0962541596067212,166.3396888024052,32.16031621165924,1
454,454,895,0.0451811408965758,285.9020473322265,37.32239084075992,1
457,457,903,0.0320982600255334,317.76486576226364,21.42976259412518,1
464,464,921,0.1061891507465674,174.56331198688932,21.237761638653858,1
465,465,922,0.0795376613450162,137.0092573330587,35.89668558847346,1
468,468,925,0.0665968705835427,6.557791927385059,-12.751117945160228,1
471,471,938,0.1213156985583905,121.04633027604596,28.55546523472044,1
472,472,939,0.0483219280847596,235.936074915528,46.6002515315088,1
476,476,949,0.0892769968002569,50.079313251128816,4.281906329576721,1
477,477,950,0.0553948945300079,339.67239614839264,-17.40313652537229,1
478,478,951,0.130971872897944,342.23756661852315,7.535406630468315,1
479,479,952,0.0650279498526137,137.05945897750405,52.57499835128604,1
483,483,961,0.0532729354959199,274.34845355802247,15.291687727061792,1
489,489,969,0.0479952546367474,136.0912371642603,2.009766989653403,1
491,491,972,0.0983137958386211,209.1363877296569,23.083380770042247,1
492,492,973,0.0801449845859622,227.78195007668964,26.24317030523128,1
495,495,976,0.0895460359033287,133.27696120282434,55.24768046747335,1
500,500,983,0.1011793752885769,0.6481659125226091,3.8310703434746647,1
502,502,985,0.0833187565575591,115.20115726190316,29.77222653550261,1
503,503,986,0.0866828844675712,192.12900863122627,28.117389598641623,1
508,508,1002,0.0111541824340446,188.25061312559905,-12.121206300799768,1
510,510,1007,0.1371656112689637,188.62582721306376,-6.265717117409579,1
512,512,1009,0.0901334692833398,121.87299837724596,54.34403750827445,1
517,517,1019,0.0496657600212323,150.55670574006075,43.03446083915589,1
532,532,1045,0.0354535198228496,140.96580112330344,36.6745499636751,1
537,537,1056,0.0662848099734348,260.03682158860016,7.191826868124352,1
538,538,1058,0.130061207587955,351.5464622740846,32.14866631761971,1
539,539,1059,0.0906242443639761,26.289798889874252,46.88053653272656,1
543,543,1067,0.0517325954435865,57.21564633001256,25.24017515596762,1
545,545,1071,0.0574397899070517,247.89836599139704,2.763767809853169,1
549,549,1080,0.0965815788157742,286.6026691483327,68.41431176927013,1
552,552,1084,0.1355250458055797,349.2269759926337,-20.75941899219625,1
557,557,1093,0.0921489941295309,92.18727069856206,37.21597540894677,1
558,558,1094,0.0428954269557124,329.1590118329695,32.133401453409945,1
561,561,1097,0.0483384767410408,56.43649829700468,-25.878300015790884,1
582,582,1142,0.0516602846213504,47.82769228765694,31.08860452654201,1
584,584,1145,0.077894871825426,190.3213453791958,57.00921859738095,1
586,586,1149,0.0671107390300632,60.44121755233055,-6.446385665272498,1
590,590,1156,0.0666491536508605,13.322929948984443,-17.786828199513494,1
591,591,1160,0.0579145726967119,199.8616753745603,43.6063934896494,1
592,592,1161,0.0664624551092678,140.26501507117973,21.45555735995122,1
593,593,1163,0.085017619642292,189.2159097709738,-10.605885318433693,1
598,598,1173,0.1038650932596342,256.7187656307147,-20.545693981687077,1
613,613,1195,0.1005053115922872,329.65521290879093,-4.786788662397115,1
616,616,1200,0.0297742639994752,215.87435287555235,30.25958323633772,1
618,618,1204,0.092061080361702,233.01915409102875,4.961483951124689,1
622,622,1214,0.0882783385680532,265.3483527098368,21.87970488945508,1
624,624,1216,0.0373885782445168,193.52965183531023,-16.67011381417388,1
626,626,1218,0.0914169066295541,18.901764834630956,-7.802900798710108,1
627,627,1220,0.025272254118464,66.00078177231153,38.716344513482106,1
636,636,1236,0.0659965411212552,298.84188358499097,78.64412711882969,1
637,637,1241,0.102812003971179,113.89307123245484,39.6468248302713,1
640,640,1245,0.0739420421426329,207.71609511151695,24.58978830329881,1
645,645,1257,0.06726284582495,48.08772353993341,-2.800810098171187,1
654,654,1286,0.0266908955198233,350.3431684656914,5.079931183006783,1
664,664,1308,0.0690372535993661,96.29929582581494,37.45727849556305,1
672,672,1319,0.0688003521636656,28.614424948962224,-0.4523180064870879,1
674,674,1323,0.0583599398320528,222.51928780900536,23.288248185037062,1
679,679,1330,0.0690731040561463,79.11116357473145,-6.24498102224251,1
686,686,1344,0.092621404874319,223.5237508280007,46.2276555524072,1
689,689,1350,0.1328721331043966,15.37384453160676,11.233439200374436,1
693,693,1357,0.0974909848376975,32.901521485684185,36.14792656691331,1
694,694,1359,0.0916075319987713,328.02874448048107,61.5007394508991,1
696,696,1363,0.0908953431815361,210.5983429866307,46.8719613348177,1
698,698,1367,0.0288257891664111,278.9739792189041,67.72500367307346,1
699,699,1368,0.0589329171826142,231.20290386317225,28.520832097783757,1
702,702,1372,0.1480070150893578,185.5923825116004,8.153359213100384,1
705,705,1377,0.0660890257454722,229.76237269111127,-11.98593836450057,1
706,706,1378,0.1311304755015515,135.40329302287887,56.618744685023806,1
707,707,1380,0.0677962347433926,12.284300759273146,52.29828643148329,1
714,714,1396,0.1180208758161854,265.7411928467823,36.56693632042082,1
716,716,1398,0.0345979509878,202.5712331120867,14.187164275200423,1
718,718,1402,0.056374962991613,340.5842901384198,29.000421040521303,1
724,724,1412,0.0969160588502074,180.07440151469154,31.23598713089595,1
726,726,1419,0.1455060398184295,46.3265996140579,-20.970086608622697,1
740,740,1447,0.1097899931319006,9.08581528845743,25.1601966349163,1
742,742,1451,0.0856322359553131,146.43172660722857,7.729771735896223,1
743,743,1453,0.0420636671614047,306.8721235522256,-5.630422317742654,1
747,747,1460,0.1219083739828898,198.7900851097785,24.929511976229865,1
748,748,1461,0.1163312825108416,232.7505762728709,9.35959246357672,1
749,749,1462,0.1176245886906807,265.68596387358684,46.32728714630164,1
759,759,1483,0.0339049448161688,86.835020272271,54.246201627376834,1
764,764,1496,0.0813093250842239,2.7918245416022147,12.829425881895148,1
767,767,1506,0.0681171228058927,196.1231958739788,23.318781064572843,1
776,776,1522,0.0588798021558402,64.59138093353964,4.069645843257256,1
777,777,1523,0.0584934688459659,312.5249076366925,-10.561063954454196,1
779,779,1526,0.0927164465856097,254.00170442698445,15.028818406977615,1
786,786,1540,0.0788203659950707,146.49655508782195,49.58141059285998,1
789,789,1545,0.1022454387981721,189.6933744486482,37.14918856941319,1
791,791,1554,0.0455569187670113,211.62426476461465,45.9023521524087,1
795,795,1561,0.0560629508717872,209.71887543706765,18.981195431867302,1
796,796,1562,0.0877821495277126,140.69831772630306,25.77020249230941,1
813,813,1590,0.0741312067928677,121.68471673263396,8.993412059763847,1
817,817,1595,0.0876164338443358,350.6005191765943,-14.920055193165812,1
833,833,1622,0.1105532002468692,82.2220607779749,66.50474656689565,1
836,836,1629,0.0518328583223575,157.30534139402553,66.11748265158558,1
839,839,1635,0.0897905700793981,266.27067463575,28.676442518236207,1
842,842,1649,0.0441809505208953,223.3842295800412,-2.190119790006865,1
845,845,1656,0.0689102472062369,176.25053059389484,51.69523592604956,1
846,846,1658,0.0698172596225647,1.34956949626587,58.165756353127655,1
851,851,1668,0.135351392909477,268.6087304254638,79.92128778262233,1
852,852,1669,0.0433423248101976,21.065011989046507,10.763421900025495,1
853,853,1670,0.0736532655499369,303.88903030672674,-18.700047692003608,1
855,855,1673,0.1264133861401092,77.53153829855202,49.77045488193463,1
878,878,1724,0.0818936848082606,213.60038826975887,44.13753059554367,1
883,883,1734,0.094710304283626,134.06916087676865,66.54645971125943,1
884,884,1738,0.0485310349864516,179.67806146218135,37.27535645393776,1
887,887,1741,0.034033666461993,192.435485575377,21.59065679153788,1
890,890,1745,0.0565317662658884,315.6799021970417,22.70866635997689,1
891,891,1746,0.116598166554059,10.8216663319548,25.02133079828109,1
893,893,1749,0.0958276541745502,143.7161715238438,48.59287032052459,1
894,894,1750,0.0900564613643773,332.6985348224165,6.995662931155504,1
901,901,1759,0.0985938164269531,213.5844346130773,43.83451639718489,1
911,911,1774,0.0605326695010718,109.64937259347492,62.33845528565418,1
