n_dip,Amp,method,Sim,ra_in,dec_in,delta_H0,Errors,ra,dec
1,5,fixe,2,270.0,-29.999999999999993,0.6100666021732467,0.16728143290593706,0.0,0.0
1,5,fixe,2,270.0,-29.999999999999993,-3.0793388447168684,0.2836227618481247,1.5707963267948966,0.0
1,5,fixe,2,270.0,-29.999999999999993,0.32149518676283945,0.20018014780630394,3.141592653589793,0.0
1,5,fixe,2,270.0,-29.999999999999993,4.422946850213796,0.28115387474534104,4.71238898038469,0.0
1,5,fixe,2,270.0,-29.999999999999993,-1.005287973216855,0.3565744619227236,0.7853981633974483,-0.7297276562269666
1,5,fixe,2,270.0,-29.999999999999993,-0.9457008103458052,0.6487502183467375,2.356194490192345,-0.7297276562269666
1,5,fixe,2,270.0,-29.999999999999993,4.849316303674861,0.7388634729515415,3.926990816987241,-0.7297276562269666
1,5,fixe,2,270.0,-29.999999999999993,4.6177081422846085,0.4476908963289354,5.497787143782138,-0.7297276562269666
1,5,clustering,3,270.0,-29.999999999999993,-0.18912097428769478,0.2039362692460516,3.6799304250610425,0.8977980585484673
1,5,clustering,3,270.0,-29.999999999999993,-2.614629058505739,0.21427183280721857,1.001848507796824,-0.15249221388635892
1,5,clustering,3,270.0,-29.999999999999993,1.0218678533471872,0.22917654237162835,5.959428031699469,0.47294347219686395
1,5,clustering,3,270.0,-29.999999999999993,-2.4137634582345786,0.22960879383887917,2.3801408152801558,0.13978471846408702
1,5,clustering,3,270.0,-29.999999999999993,1.5019477932030758,0.20868222879670817,3.3797887201469927,0.13756428503387585
1,5,clustering,3,270.0,-29.999999999999993,-1.204169472434446,0.16754548884094592,0.3610526336209481,0.32279361157199626
1,5,clustering,3,270.0,-29.999999999999993,3.323449377634406,0.19671308599758922,4.272786330123044,0.3090152699312909
1,5,clustering,3,270.0,-29.999999999999993,-3.097534352571838,0.20505982059316358,1.874602708460107,0.9058437324926313
1,5,clustering,3,270.0,-29.999999999999993,1.4735639982475937,0.20418219197633433,4.797066158870172,0.9386020035593431
1,5,clustering,3,270.0,-29.999999999999993,-1.9854566583541422,0.20126736450791805,2.7740139767701995,0.8633054713171868
1,5,clustering,3,270.0,-29.999999999999993,3.6120596601658845,0.2210540911368999,5.666077619386424,-0.12491454145727143
1,5,fixe,3,270.0,-29.999999999999993,-2.218171356092379,0.2090433983981672,0.7853981633974483,0.7297276562269662
1,5,fixe,3,270.0,-29.999999999999993,-2.727202043438434,0.14064171863059935,2.356194490192345,0.7297276562269662
1,5,fixe,3,270.0,-29.999999999999993,0.9406472929381409,0.13786843419366268,3.926990816987241,0.7297276562269662
1,5,fixe,3,270.0,-29.999999999999993,1.8722773071718903,0.19501487816488655,5.497787143782138,0.7297276562269662
1,5,fixe,3,270.0,-29.999999999999993,0.4990020272645837,0.16480446540696433,0.0,0.0
1,5,fixe,3,270.0,-29.999999999999993,-3.272622648754439,0.26002719850547695,1.5707963267948966,0.0
1,5,fixe,3,270.0,-29.999999999999993,0.786887853615044,0.20289410403131053,3.141592653589793,0.0
