color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
c,5,clustering,36.0,45.0,68.95297152202869,4.5711708069983805,0.744744142673159,0.7449443754228732
c,5,clustering,36.0,45.0,68.84567498211347,4.667213793576232,0.7263860177340075,0.7858749751466283
c,5,clustering,36.0,45.0,68.77174298832922,4.881959286953034,0.6388323675376701,0.8009089421399538
c,5,clustering,36.0,45.0,68.71980396611437,5.069041327368687,0.6642907691443998,0.7896826006906538
c,5,clustering,36.0,45.0,68.91561203574832,4.575198527727997,0.595759743379999,0.7905967180585198
c,5,clustering,36.0,45.0,69.03726430540621,4.28077419944404,0.6485453796189785,0.7604775418713893
c,5,clustering,36.0,45.0,68.64483650069138,4.922808442548865,0.6614097863680933,0.8144502588459124
c,5,clustering,36.0,45.0,69.07871446532974,4.1741923567182,0.6925165258586151,0.7258792990423133
c,5,clustering,36.0,45.0,68.9323147374378,4.492278190189673,0.6569783781467531,0.7445181703877944
c,5,clustering,36.0,45.0,69.05066087711104,4.416080658940692,0.7283367024596015,0.7396604817830291
y,5,clustering,108.0,-330.0,69.36352217227653,-4.967892822689647,-1.2164466346684844,-0.4220050228678781
y,5,clustering,108.0,-330.0,69.18822154453107,-5.042236711925925,-1.2111896433296274,-0.485565664693274
y,5,clustering,108.0,-330.0,69.1115252437586,-4.932756856948706,-1.2513840915866314,-0.5457381267279452
y,5,clustering,108.0,-330.0,69.1671164560268,-5.115044213762754,-1.2884471647513989,-0.5475026816673488
y,5,clustering,108.0,-330.0,69.27479256030075,-4.6177897671805885,-1.2133256654401006,-0.5164596935037403
y,5,clustering,108.0,-330.0,69.47725194211534,-4.510321309990295,-1.176323330697003,-0.42763038002192016
y,5,clustering,108.0,-330.0,69.091511949443,-5.016243550430065,-1.2360797481419241,-0.5319813873024496
y,5,clustering,108.0,-330.0,69.36396103859737,-4.628745148674304,-1.1753233039762563,-0.40525527398454925
y,5,clustering,108.0,-330.0,69.32365464470035,-4.759114983423,-1.2258715333432955,-0.48082192048172395
y,5,clustering,108.0,-330.0,69.44492034213397,-4.856181508811468,-1.2001671712810342,-0.425848171637778
m,5,clustering,252.0,45.0,68.58570488955351,-4.537580700958006,1.1345546127453126,-0.7632080157388379
m,5,clustering,252.0,45.0,68.48243901592026,-4.780366252487927,1.15921715404886,-0.8039779001617118
m,5,clustering,252.0,45.0,68.4826746472162,-4.8654117609294225,1.2413194497600297,-0.801982659505195
m,5,clustering,252.0,45.0,68.45432368742584,-4.87337091275856,1.2430621065547522,-0.8587990696911213
m,5,clustering,252.0,45.0,68.61683858322438,-4.909447584329126,1.256673604454704,-0.7627883734205293
m,5,clustering,252.0,45.0,68.52192004786389,-4.8171819451677305,1.190970723353816,-0.7027282495245569
m,5,clustering,252.0,45.0,68.49459289895387,-4.932204260146723,1.207624764029247,-0.8201642349598329
m,5,clustering,252.0,45.0,68.66797248836795,-4.615433911880876,1.159611254048477,-0.6986686420263105
m,5,clustering,252.0,45.0,68.60374611098992,-4.675580495177805,1.2087417794923279,-0.7260044701913565
m,5,clustering,252.0,45.0,68.60549776431338,-4.528628819162604,1.1279301129662354,-0.7304392041565552
purple,5,clustering,324.0,72.0,68.28616673455305,4.391398435995176,-0.625638637781689,1.3266836994438556
purple,5,clustering,324.0,72.0,68.18863874568679,4.64803369021218,-0.659771124923608,1.3261712768071683
purple,5,clustering,324.0,72.0,68.18319666745273,4.777117479141428,-0.653217114187702,1.2694921605686456
purple,5,clustering,324.0,72.0,68.09682260018339,5.045689860115338,-0.5592378330543226,1.282590940524401
purple,5,clustering,324.0,72.0,68.33713210860877,4.668311297391006,-0.765697161501055,1.2358133221265732
purple,5,clustering,324.0,72.0,68.32817121902374,4.3209865743683515,-0.8806951783155853,1.2504345444626843
purple,5,clustering,324.0,72.0,68.12284742102992,4.805279564976639,-0.6941325056231543,1.2977070126386039
purple,5,clustering,324.0,72.0,68.37358741457027,4.296152687476317,-0.8396997057834088,1.2701923362600098
purple,5,clustering,324.0,72.0,68.28430625308705,4.438263690531973,-0.7154309521142337,1.2556699534158247
purple,5,clustering,324.0,72.0,68.35476092460756,4.227398970498377,-3.8817371874449846,1.8336906988998685
